uniprot_id,structure_file,status
P49286,AF-P49286-F1-model_v6.pdb,downloaded
P48039,AF-P48039-F1-model_v6.pdb,downloaded
A0A3B3ITW1,AF-A0A3B3ITW1-F1-model_v6.pdb,downloaded
P41145,AF-P41145-F1-model_v6.pdb,downloaded
P21728,AF-P21728-F1-model_v6.pdb,downloaded
C9J8Q5,AF-C9J8Q5-F1-model_v6.pdb,downloaded
P35372,AF-P35372-F1-model_v6.pdb,downloaded
A0A7I2V2J2,,not_available
P29218,AF-P29218-F1-model_v6.pdb,downloaded
Q7Z3B1,AF-Q7Z3B1-F1-model_v6.pdb,downloaded
D2CGC9,AF-D2CGC9-F1-model_v6.pdb,downloaded
P35367,AF-P35367-F1-model_v6.pdb,downloaded
Q96NI6,AF-Q96NI6-F1-model_v6.pdb,downloaded
P41595,AF-P41595-F1-model_v6.pdb,downloaded
A0A0D9SFU5,AF-A0A0D9SFU5-F1-model_v6.pdb,downloaded
Q9BZC1,AF-Q9BZC1-F1-model_v6.pdb,downloaded
P13591,AF-P13591-F1-model_v6.pdb,downloaded
A0A3B3ISH0,,not_available
P21918,AF-P21918-F1-model_v6.pdb,downloaded
Q9UPU3,AF-Q9UPU3-F1-model_v6.pdb,downloaded
P28222,AF-P28222-F1-model_v6.pdb,downloaded
E5RK45,AF-E5RK45-F1-model_v6.pdb,downloaded
P25103,AF-P25103-F1-model_v6.pdb,downloaded
H7C0N3,,not_available
A0A994J4M3,AF-A0A994J4M3-F1-model_v6.pdb,downloaded
P50406,AF-P50406-F1-model_v6.pdb,downloaded
Q9UE35,AF-Q9UE35-F1-model_v6.pdb,downloaded
H0YFX8,,not_available
P28221,AF-P28221-F1-model_v6.pdb,downloaded
P34969,AF-P34969-F1-model_v6.pdb,downloaded
Q8WXA8,AF-Q8WXA8-F1-model_v6.pdb,downloaded
A5X5Y0,AF-A5X5Y0-F1-model_v6.pdb,downloaded
F6WC43,AF-F6WC43-F1-model_v6.pdb,downloaded
H7C223,,not_available
E7ES87,AF-E7ES87-F1-model_v6.pdb,downloaded
P30939,AF-P30939-F1-model_v6.pdb,downloaded
O00206,AF-O00206-F1-model_v6.pdb,downloaded
P28566,AF-P28566-F1-model_v6.pdb,downloaded
B0ZBD3,AF-B0ZBD3-F1-model_v6.pdb,downloaded
Q7Z6K3,AF-Q7Z6K3-F1-model_v6.pdb,downloaded
P25100,AF-P25100-F1-model_v6.pdb,downloaded
P35368,AF-P35368-F1-model_v6.pdb,downloaded
Q6UX06,AF-Q6UX06-F1-model_v6.pdb,downloaded
P49789,AF-P49789-F1-model_v6.pdb,downloaded
K7EJ38,,not_available
Q8TBY8,AF-Q8TBY8-F1-model_v6.pdb,downloaded
A0A0A0MSA1,,not_available
H0Y9E2,AF-H0Y9E2-F1-model_v6.pdb,downloaded
A0A994J6X9,AF-A0A994J6X9-F1-model_v6.pdb,downloaded
A0A8I5KWM3,AF-A0A8I5KWM3-F1-model_v6.pdb,downloaded
P55285,AF-P55285-F1-model_v6.pdb,downloaded
B7ZBL5,AF-B7ZBL5-F1-model_v6.pdb,downloaded
F5GZF8,AF-F5GZF8-F1-model_v6.pdb,downloaded
Q9NXG0,AF-Q9NXG0-F1-model_v6.pdb,downloaded
Q6Y288,AF-Q6Y288-F1-model_v6.pdb,downloaded
A0A8I5KPP5,AF-A0A8I5KPP5-F1-model_v6.pdb,downloaded
P35712,AF-P35712-F1-model_v6.pdb,downloaded
E9PR34,AF-E9PR34-F1-model_v6.pdb,downloaded
Q9UJ96,AF-Q9UJ96-F1-model_v6.pdb,downloaded
A0A498U6H7,AF-A0A498U6H7-F1-model_v6.pdb,downloaded
A0ABB0MV48,AF-A0ABB0MV48-F1-model_v6.pdb,downloaded
E9PE96,AF-E9PE96-F1-model_v6.pdb,downloaded
C9J3W6,AF-C9J3W6-F1-model_v6.pdb,downloaded
A0A804HJI2,AF-A0A804HJI2-F1-model_v6.pdb,downloaded
B4DR80,AF-B4DR80-F1-model_v6.pdb,downloaded
B1AJS1,AF-B1AJS1-F1-model_v6.pdb,downloaded
A0A994J6Y4,AF-A0A994J6Y4-F1-model_v6.pdb,downloaded
A0A804HHT0,AF-A0A804HHT0-F1-model_v6.pdb,downloaded
A8MTU2,AF-A8MTU2-F1-model_v6.pdb,downloaded
F5H0M1,AF-F5H0M1-F1-model_v6.pdb,downloaded
E9PBU1,AF-E9PBU1-F1-model_v6.pdb,downloaded
B1AM48,AF-B1AM48-F1-model_v6.pdb,downloaded
G3V5S2,AF-G3V5S2-F1-model_v6.pdb,downloaded
B4DS77,AF-B4DS77-F1-model_v6.pdb,downloaded
G3V1R5,AF-G3V1R5-F1-model_v6.pdb,downloaded
A0A494C1E4,,not_available
Q96JK9,AF-Q96JK9-F1-model_v6.pdb,downloaded
E5RFZ0,AF-E5RFZ0-F1-model_v6.pdb,downloaded
D6RGF0,AF-D6RGF0-F1-model_v6.pdb,downloaded
P17342,AF-P17342-F1-model_v6.pdb,downloaded
A0A0A0MS48,AF-A0A0A0MS48-F1-model_v6.pdb,downloaded
J3KPI6,AF-J3KPI6-F1-model_v6.pdb,downloaded
P32243,AF-P32243-F1-model_v6.pdb,downloaded
Q8IWU9,AF-Q8IWU9-F1-model_v6.pdb,downloaded
A0A7P0TB21,AF-A0A7P0TB21-F1-model_v6.pdb,downloaded
A0A7I2V5T5,AF-A0A7I2V5T5-F1-model_v6.pdb,downloaded
A0A1B0GTK2,AF-A0A1B0GTK2-F1-model_v6.pdb,downloaded
Q86V15,AF-Q86V15-F1-model_v6.pdb,downloaded
A0A0U1RQU3,,not_available
A0A8V8TPT1,AF-A0A8V8TPT1-F1-model_v6.pdb,downloaded
P55283,AF-P55283-F1-model_v6.pdb,downloaded
A2RRB2,AF-A2RRB2-F1-model_v6.pdb,downloaded
A0A1D5RMP7,,not_available
U3KQA1,AF-U3KQA1-F1-model_v6.pdb,downloaded
A0A804HKY0,,not_available
H3BNM0,AF-H3BNM0-F1-model_v6.pdb,downloaded
F1D8N4,AF-F1D8N4-F1-model_v6.pdb,downloaded
C9JLJ1,AF-C9JLJ1-F1-model_v6.pdb,downloaded
Q9NS39,AF-Q9NS39-F1-model_v6.pdb,downloaded
H0YKG6,AF-H0YKG6-F1-model_v6.pdb,downloaded
O43597,AF-O43597-F1-model_v6.pdb,downloaded
A6H8Y7,AF-A6H8Y7-F1-model_v6.pdb,downloaded
J3QRA9,AF-J3QRA9-F1-model_v6.pdb,downloaded
Q8N3Z6,AF-Q8N3Z6-F1-model_v6.pdb,downloaded
D6RBE8,AF-D6RBE8-F1-model_v6.pdb,downloaded
B9EIJ4,AF-B9EIJ4-F1-model_v6.pdb,downloaded
A0A804HJJ5,AF-A0A804HJJ5-F1-model_v6.pdb,downloaded
A0A7P0TAC5,,not_available
Q13114,AF-Q13114-F1-model_v6.pdb,downloaded
K7EK30,AF-K7EK30-F1-model_v6.pdb,downloaded
C9JX80,AF-C9JX80-F1-model_v6.pdb,downloaded
H7C276,,not_available
M0R3C9,,not_available
Q9ULU4,AF-Q9ULU4-F1-model_v6.pdb,downloaded
E9PRP3,AF-E9PRP3-F1-model_v6.pdb,downloaded
A0A1W2PP27,AF-A0A1W2PP27-F1-model_v6.pdb,downloaded
Q9NT22,AF-Q9NT22-F1-model_v6.pdb,downloaded
P43681,AF-P43681-F1-model_v6.pdb,downloaded
J3QLT8,,not_available
A8KAG8,AF-A8KAG8-F1-model_v6.pdb,downloaded
Q08462,AF-Q08462-F1-model_v6.pdb,downloaded
A6NEW7,AF-A6NEW7-F1-model_v6.pdb,downloaded
Q5TGI4,AF-Q5TGI4-F1-model_v6.pdb,downloaded
P17787,AF-P17787-F1-model_v6.pdb,downloaded
H0YHB6,AF-H0YHB6-F1-model_v6.pdb,downloaded
A0A0C4DGA9,AF-A0A0C4DGA9-F1-model_v6.pdb,downloaded
A0A0J9YVP1,AF-A0A0J9YVP1-F1-model_v6.pdb,downloaded
C9JPY5,AF-C9JPY5-F1-model_v6.pdb,downloaded
H0YAN3,,not_available
B7ZM79,AF-B7ZM79-F1-model_v6.pdb,downloaded
O75881,AF-O75881-F1-model_v6.pdb,downloaded
A0A1B0GTM8,,not_available
X6R5P2,AF-X6R5P2-F1-model_v6.pdb,downloaded
Q8IWV2,AF-Q8IWV2-F1-model_v6.pdb,downloaded
H0YJ69,,not_available
A0A0C4DG79,AF-A0A0C4DG79-F1-model_v6.pdb,downloaded
A0A8Q3SI97,,not_available
P02649,AF-P02649-F1-model_v6.pdb,downloaded
Q9ULB4,AF-Q9ULB4-F1-model_v6.pdb,downloaded
P58400,AF-P58400-F1-model_v6.pdb,downloaded
Q5T036,AF-Q5T036-F1-model_v6.pdb,downloaded
Q8NHY2,AF-Q8NHY2-F1-model_v6.pdb,downloaded
P81133,AF-P81133-F1-model_v6.pdb,downloaded
E9PEK1,AF-E9PEK1-F1-model_v6.pdb,downloaded
O94779,AF-O94779-F1-model_v6.pdb,downloaded
E7EPF2,AF-E7EPF2-F1-model_v6.pdb,downloaded
H0YMT0,AF-H0YMT0-F1-model_v6.pdb,downloaded
Q92481,AF-Q92481-F1-model_v6.pdb,downloaded
H7C255,,not_available
D6R9M6,AF-D6R9M6-F1-model_v6.pdb,downloaded
Q8N7G0,AF-Q8N7G0-F1-model_v6.pdb,downloaded
Q96A65,AF-Q96A65-F1-model_v6.pdb,downloaded
