ensembl_id,uniprot_id,protein_name,length,embedding_index
ENSG00000185313,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,1956,38
ENSG00000136546,Q01118,Sodium channel protein type 7 subunit alpha,1682,39
ENSG00000153253,C9JBM7,,200,40
ENSG00000007314,P35499,Sodium channel protein type 4 subunit alpha,1836,41
ENSG00000176884,Q5VSF9,Glutamate receptor,922,42
ENSG00000198785,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",1115,43
ENSG00000069535,P27338,Amine oxidase [flavin-containing] B,520,44
ENSG00000105464,O15399,"Glutamate receptor ionotropic, NMDA 2D",1336,45
ENSG00000161509,H0Y2V8,Glutamate receptor,873,46
ENSG00000116032,O60391,"Glutamate receptor ionotropic, NMDA 3B",1043,47
ENSG00000134640,P49286,Melatonin receptor type 1B,362,48
ENSG00000168412,P48039,Melatonin receptor type 1A,350,49
ENSG00000082701,A0A3B3ITW1,Glycogen synthase kinase-3 beta,387,50
ENSG00000082556,P41145,Kappa-type opioid receptor,380,51
ENSG00000184845,P21728,D(1A) dopamine receptor,446,52
ENSG00000112294,C9J8Q5,Succinate-semialdehyde dehydrogenase,507,53
ENSG00000112038,P35372,Mu-type opioid receptor,400,54
ENSG00000105723,A0A7I2V2J2,,83,55
ENSG00000133731,P29218,Inositol monophosphatase 1,277,56
ENSG00000172260,Q7Z3B1,Neuronal growth regulator 1,354,57
ENSG00000116329,D2CGC9,,324,58
ENSG00000196639,P35367,Histamine H1 receptor,487,59
ENSG00000165379,Q96NI6,Leucine-rich repeat and fibronectin type-III domain-containing protein 5,719,60
ENSG00000135914,P41595,5-hydroxytryptamine receptor 2B,481,61
ENSG00000196628,A0A0D9SFU5,,207,62
ENSG00000101489,Q9BZC1,CUGBP Elav-like family member 4,486,63
ENSG00000149294,P13591,Neural cell adhesion molecule 1,858,64
ENSG00000157219,A0A3B3ISH0,,84,65
ENSG00000169676,P21918,D(1B) dopamine receptor,477,66
ENSG00000156395,Q9UPU3,VPS10 domain-containing receptor SorCS3,1222,67
ENSG00000135312,P28222,5-hydroxytryptamine receptor 1B,390,68
ENSG00000164270,E5RK45,5-hydroxytryptamine receptor 4,371,69
ENSG00000115353,P25103,Substance-P receptor,407,70
ENSG00000077063,H7C0N3,,193,71
ENSG00000106460,A0A994J4M3,Transmembrane protein 106B,249,72
ENSG00000158748,P50406,5-hydroxytryptamine receptor 6,440,73
ENSG00000091831,Q9UE35,,115,74
ENSG00000149305,H0YFX8,,175,75
ENSG00000179546,P28221,5-hydroxytryptamine receptor 1D,377,76
ENSG00000148680,P34969,5-hydroxytryptamine receptor 7,479,77
ENSG00000178084,Q8WXA8,5-hydroxytryptamine receptor 3C,447,78
ENSG00000186038,A5X5Y0,5-hydroxytryptamine receptor 3E,456,79
ENSG00000186090,F6WC43,,279,80
ENSG00000168959,H7C223,,87,81
ENSG00000196092,E7ES87,,220,82
ENSG00000179097,P30939,5-hydroxytryptamine receptor 1F,366,83
ENSG00000136869,O00206,Toll-like receptor 4,839,84
ENSG00000168830,P28566,5-hydroxytryptamine receptor 1E,365,85
ENSG00000120907,B0ZBD3,Alpha-1A adrenergic receptor,475,86
ENSG00000188647,Q7Z6K3,Protein prenyltransferase alpha subunit repeat-containing protein 1,402,87
ENSG00000171873,P25100,Alpha-1D adrenergic receptor,572,88
ENSG00000170214,P35368,Alpha-1B adrenergic receptor,520,89
ENSG00000102837,Q6UX06,Olfactomedin-4,510,90
ENSG00000189283,P49789,Bis(5'-adenosyl)-triphosphatase,147,91
ENSG00000041353,K7EJ38,small monomeric GTPase,131,92
ENSG00000118557,Q8TBY8,Polyamine-modulated factor 1-binding protein 1,1007,93
ENSG00000151067,A0A0A0MSA1,Voltage-dependent L-type calcium channel subunit alpha,2173,94
ENSG00000138675,H0Y9E2,Fibroblast growth factor,119,95
ENSG00000134532,A0A994J6X9,,377,96
ENSG00000138688,A0A8I5KWM3,,311,97
ENSG00000113361,P55285,Cadherin-6,790,98
ENSG00000213047,B7ZBL5,,147,99
ENSG00000168539,F5GZF8,Muscarinic acetylcholine receptor,134,100
ENSG00000044459,Q9NXG0,Centlein,1405,101
ENSG00000187676,Q6Y288,"Beta-1,3-glucosyltransferase",498,102
ENSG00000185920,A0A8I5KPP5,,456,103
ENSG00000110693,P35712,Transcription factor SOX-6,828,104
ENSG00000184588,E9PR34,"3',5'-cyclic-AMP phosphodiesterase",152,105
ENSG00000178342,Q9UJ96,Voltage-gated potassium channel regulatory subunit KCNG2,466,106
ENSG00000087085,A0A498U6H7,,28,107
ENSG00000239268,A0ABB0MV48,,24,108
ENSG00000186472,E9PE96,,1217,109
ENSG00000182511,C9J3W6,,42,110
ENSG00000174891,A0A804HJI2,,342,111
ENSG00000102572,B4DR80,non-specific serine/threonine protein kinase,412,112
ENSG00000152092,B1AJS1,,1228,113
ENSG00000118263,A0A994J6Y4,,271,114
ENSG00000138821,A0A804HHT0,,78,115
ENSG00000128573,A8MTU2,,171,116
ENSG00000078328,F5H0M1,RNA binding protein fox-1 homolog 1,380,117
ENSG00000028116,E9PBU1,,59,118
ENSG00000107105,B1AM48,ELAV-like protein,189,119
ENSG00000140009,G3V5S2,Estrogen receptor beta,513,120
ENSG00000237515,B4DS77,Protein shisa-9,424,121
ENSG00000078618,G3V1R5,Nardilysin,1087,122
ENSG00000154736,A0A494C1E4,,198,123
ENSG00000196782,Q96JK9,Mastermind-like protein 3,1138,124
ENSG00000112249,E5RFZ0,,176,125
ENSG00000184838,D6RGF0,,142,126
ENSG00000113389,P17342,Atrial natriuretic peptide receptor 3,541,127
ENSG00000119522,A0A0A0MS48,,1070,128
ENSG00000006432,J3KPI6,Mitogen-activated protein kinase kinase kinase,1081,129
ENSG00000165588,P32243,Homeobox protein OTX2,289,130
ENSG00000139287,Q8IWU9,Tryptophan 5-hydroxylase 2,490,131
ENSG00000112139,A0A7P0TB21,,593,132
ENSG00000147601,A0A7I2V5T5,Telomeric repeat-binding factor,391,133
ENSG00000187772,A0A1B0GTK2,,209,134
ENSG00000130940,Q86V15,Zinc finger protein castor homolog 1,1759,135
ENSG00000070961,A0A0U1RQU3,,300,136
ENSG00000151779,A0A8V8TPT1,,629,137
ENSG00000179242,P55283,Cadherin-4,916,138
ENSG00000168916,A2RRB2,,447,139
ENSG00000169760,A0A1D5RMP7,,10,140
ENSG00000079393,U3KQA1,Dual specificity protein phosphatase,220,141
ENSG00000155052,A0A804HKY0,,1307,142
ENSG00000140749,H3BNM0,,120,143
ENSG00000113580,F1D8N4,Glucocorticoid receptor,777,144
ENSG00000177565,C9JLJ1,,427,145
ENSG00000185736,Q9NS39,Inactive double-stranded RNA-specific editase B2,739,146
ENSG00000205363,H0YKG6,Inhibitory synaptic factor 1,153,147
ENSG00000136158,O43597,Protein sprouty homolog 2,315,148
ENSG00000186714,A6H8Y7,,158,149
ENSG00000126351,J3QRA9,,84,150
ENSG00000147905,Q8N3Z6,Zinc finger CCHC domain-containing protein 7,543,151
ENSG00000164180,D6RBE8,,381,152
ENSG00000171303,B9EIJ4,,271,153
ENSG00000118473,A0A804HJJ5,SH3-containing GRB2-like protein 3-interacting protein 1,796,154
ENSG00000197386,A0A7P0TAC5,Huntingtin,3086,155
ENSG00000131323,Q13114,TNF receptor-associated factor 3,568,156
ENSG00000179761,K7EK30,,153,157
ENSG00000002822,C9JX80,,80,158
ENSG00000154822,H7C276,Phosphoinositide phospholipase C,704,159
ENSG00000074181,M0R3C9,,1286,160
ENSG00000101040,Q9ULU4,MYND-type zinc finger-containing chromatin reader ZMYND8,1186,161
ENSG00000080854,E9PRP3,,162,162
ENSG00000007372,A0A1W2PP27,Paired box protein Pax-6,260,163
ENSG00000183798,Q9NT22,EMILIN-3,766,164
ENSG00000101204,P43681,Neuronal acetylcholine receptor subunit alpha-4,627,165
ENSG00000187323,J3QLT8,,181,166
ENSG00000188778,A8KAG8,Beta-3 adrenergic receptor,408,167
ENSG00000078295,Q08462,Adenylate cyclase type 2,1091,168
ENSG00000075073,A6NEW7,Substance-K receptor,186,169
ENSG00000203727,Q5TGI4,Sterile alpha motif domain-containing protein 5,173,170
ENSG00000160716,P17787,Neuronal acetylcholine receptor subunit beta-2,502,171
ENSG00000151322,H0YHB6,,125,172
ENSG00000188848,A0A0C4DGA9,,437,173
ENSG00000082175,A0A0J9YVP1,,170,174
ENSG00000149292,C9JPY5,,167,175
ENSG00000175806,H0YAN3,peptide-methionine (S)-S-oxide reductase,91,176
ENSG00000184226,B7ZM79,,1195,177
ENSG00000172817,O75881,Cytochrome P450 7B1,506,178
ENSG00000158445,A0A1B0GTM8,,40,179
ENSG00000148219,X6R5P2,,194,180
ENSG00000144619,Q8IWV2,Contactin-4,1026,181
ENSG00000119682,H0YJ69,,119,182
ENSG00000048828,A0A0C4DG79,,494,183
ENSG00000145934,A0A8Q3SI97,Teneurin-2,2613,184
ENSG00000130203,P02649,Apolipoprotein E,317,185
ENSG00000113100,Q9ULB4,Cadherin-9,789,186
ENSG00000179915,P58400,Neurexin-1-beta,472,187
ENSG00000188938,Q5T036,Uncharacterized protein FAM120AOS,256,188
ENSG00000143207,Q8NHY2,E3 ubiquitin-protein ligase COP1,731,189
ENSG00000112246,P81133,Single-minded homolog 1,766,190
ENSG00000136560,E9PEK1,,36,191
ENSG00000149972,O94779,Contactin-5,1100,192
ENSG00000153250,E7EPF2,,127,193
ENSG00000172575,H0YMT0,,123,194
ENSG00000008196,Q92481,Transcription factor AP-2-beta,460,195
ENSG00000146555,H7C255,,107,196
ENSG00000014824,D6R9M6,,119,197
ENSG00000248483,Q8N7G0,"POU domain, class 5, transcription factor 2",328,198
ENSG00000131558,Q96A65,Exocyst complex component 4,974,199
